sc_point_gid,class,capacity,capital_adder_per_mw,cf,mean_resource_temp
82349,8,37.89,0,0.9945,154.0
82350,8,27.93,0,0.9944,152.0
82351,9,93.02,0,0.9944,149.0
82352,9,32.25,0,0.9944,149.0
82353,8,76.67,0,0.9944,150.0
82354,9,52.14,0,0.9944,149.0
82355,9,89.49,0,0.9944,148.0
82356,9,25.3,0,0.9943,146.0
82357,8,0.17,0,0.9946,155.0
82358,8,14.55,0,0.9946,156.0
82359,8,378.79,0,0.9946,162.0
82360,8,579.25,0,0.9947,174.0
82361,7,608.37,0,0.9948,178.0
82362,7,373.06,0,0.9948,178.0
82363,7,276.75,0,0.9948,180.0
82364,7,315.52,0,0.9948,178.0
82365,8,418.63,0,0.9945,153.0
82366,8,416.56,0,0.9945,155.0
82367,7,568.74,0,0.9948,181.0
82368,7,405.03,0,0.9947,176.0
82369,8,462.42,0,0.9947,172.0
82370,8,519.27,0,0.9947,172.0
82371,8,541.19,0,0.9947,169.0
82372,8,402.77,0,0.9947,167.0
82373,8,429.18,0,0.9947,166.0
82374,8,468.27,0,0.9947,165.0
82375,8,446.75,0,0.9947,169.0
82376,8,389.36,0,0.9947,162.0
82377,8,231.69,0,0.9947,165.0
82378,8,52.09,0,0.9947,170.0
82379,8,98.78,0,0.9947,166.0
82380,8,311.51,0,0.9947,170.0
82381,8,241.62,0,0.9944,152.0
82382,8,221.16,0,0.9945,153.0
82383,8,259.63,0,0.9944,151.0
82384,8,311.64,0,0.9945,153.0
82385,8,442.88,0,0.9945,156.0
82386,8,432.53,0,0.9945,155.0
82387,8,372.65,0,0.9945,153.0
82388,9,355.21,0,0.9944,150.0
82389,9,388.72,0,0.9944,149.0
82390,8,427.37,0,0.9944,151.0
82391,9,370.11,0,0.9944,148.0
82392,9,362.53,0,0.9944,147.0
82393,9,308.07,0,0.9944,146.0
82394,8,345.36,0,0.9947,168.0
82395,9,254.58,0,0.9943,146.0
82396,9,326.31,0,0.9944,148.0
82397,9,287.95,0,0.9944,148.0
82398,9,223.24,0,0.9944,147.0
82399,8,323.61,0,0.9944,152.0
82400,9,392.04,0,0.9944,149.0
82401,9,321.5,0,0.9943,145.0
82402,9,121.43,0,0.9944,147.0
82403,9,103.88,0,0.9943,145.0
82404,8,105.03,0,0.9947,163.0
82405,8,103.82,0,0.9947,163.0
82406,8,145.55,0,0.9946,160.0
82407,8,172.89,0,0.9946,157.0
82408,8,172.44,0,0.9946,156.0
82409,8,199.07,0,0.9946,156.0
82410,8,273.32,0,0.9946,158.0
82411,8,324.95,0,0.9946,159.0
82412,8,232.67,0,0.9946,161.0
82413,8,166.02,0,0.9946,160.0
82414,8,89.05,0,0.9946,156.0
82415,8,116.14,0,0.9945,153.0
82416,8,150.44,0,0.9945,151.0
82417,9,111.37,0,0.9945,150.0
82418,9,151.6,0,0.9944,146.0
82419,9,192.55,0,0.9945,149.0
82420,9,141.02,0,0.9945,149.0
82421,8,128.31,0,0.9945,150.0
82422,8,56.37,0,0.9945,152.0
82423,8,61.41,0,0.9945,153.0
82424,8,68.22,0,0.9945,153.0
82425,8,68.74,0,0.9946,156.0
82426,8,95.17,0,0.9946,156.0
82427,8,111.76,0,0.9946,157.0
82428,8,109.52,0,0.9946,158.0
82429,8,89.24,0,0.9946,157.0
82430,8,83.68,0,0.9946,156.0
82431,8,94.27,0,0.9946,157.0
82432,8,60.38,0,0.9946,156.0
82433,8,45.11,0,0.9946,155.0
82434,8,43.44,0,0.9946,155.0
82435,8,32.72,0,0.9946,156.0
82436,8,51.06,0,0.9946,159.0
82437,8,57.89,0,0.9946,160.0
82438,8,99.97,0,0.9946,161.0
82439,8,87.56,0,0.9946,160.0
82440,8,61.54,0,0.9946,159.0
82441,8,54.65,0,0.9946,159.0
82442,8,57.17,0,0.9946,158.0
82443,8,52.81,0,0.9946,159.0
82444,8,51.46,0,0.9947,162.0
82445,8,47.89,0,0.9947,163.0
82446,8,60.94,0,0.9947,166.0
82447,8,67.38,0,0.9947,168.0
82448,8,120.12,0,0.9947,169.0
82449,8,127.5,0,0.9947,173.0
82450,8,81.55,0,0.9946,161.0
82451,8,105.01,0,0.9946,158.0
82452,8,104.88,0,0.9947,164.0
82453,8,63.5,0,0.9947,165.0
82454,8,106.42,0,0.9947,165.0
82455,8,142.17,0,0.9947,166.0
82456,8,185.38,0,0.9947,166.0
82457,8,128.51,0,0.9947,166.0
82458,8,170.53,0,0.9947,165.0
82459,8,176.5,0,0.9947,168.0
82460,8,187.71,0,0.9947,168.0
82461,8,224.34,0,0.9947,167.0
82462,8,284.95,0,0.9947,167.0
82463,8,270.36,0,0.9947,167.0
82464,8,322.26,0,0.9947,167.0
82465,8,293.79,0,0.9947,169.0
82466,8,224.29,0,0.9947,168.0
82467,8,297.43,0,0.9947,164.0
82468,8,234.16,0,0.9947,163.0
82469,8,49.92,0,0.9946,162.0
82470,8,134.28,0,0.9947,163.0
82471,8,105.9,0,0.9947,164.0
82472,8,180.51,0,0.9947,163.0
82473,8,175.64,0,0.9947,164.0
82474,8,133.83,0,0.9947,162.0
82475,8,128.3,0,0.9946,161.0
82476,8,93.29,0,0.9946,158.0
82477,8,98.37,0,0.9946,160.0
82478,8,127.9,0,0.9946,161.0
82479,8,187.37,0,0.9946,161.0
82480,8,198.09,0,0.9947,163.0
82481,8,186.15,0,0.9947,164.0
82482,8,97.22,0,0.9946,158.0
82483,8,82.46,0,0.9946,157.0
82484,8,26.36,0,0.9946,156.0
82485,8,51.08,0,0.9946,155.0
82486,8,51.35,0,0.9945,154.0
82487,8,62.7,0,0.9945,153.0
82488,8,63.64,0,0.9945,152.0
82489,8,59.66,0,0.9945,152.0
82490,8,87.9,0,0.9945,151.0
82491,8,79.1,0,0.9945,153.0
82501,8,209.06,0,0.9945,154.0
82502,8,205.44,0,0.9946,155.0
82503,8,170.02,0,0.9946,158.0
82504,8,160.32,0,0.9946,159.0
82505,8,179.39,0,0.9946,156.0
82506,8,123.84,0,0.9945,153.0
82507,8,220.63,0,0.9946,155.0
82508,8,138.89,0,0.9946,155.0
82509,8,169.77,0,0.9946,156.0
82510,8,54.33,0,0.9946,159.0
82511,8,52.74,0,0.9947,162.0
82512,8,273.36,0,0.9947,163.0
82513,8,273.58,0,0.9947,164.0
82514,8,144.86,0,0.9947,166.0
82515,8,113.53,0,0.9947,167.0
82516,8,197.64,0,0.9947,165.0
82517,8,163.33,0,0.9947,164.0
82518,8,73.69,0,0.9947,163.0
82519,8,35.11,0,0.9946,162.0
82523,8,46.78,0,0.9946,155.0
82524,8,135.29,0,0.9946,157.0
82567,9,152.33,0,0.9945,148.0
82568,9,169.26,0,0.9945,149.0
82569,9,126.58,0,0.9944,148.0
82570,9,88.71,0,0.9944,148.0
82571,9,84.58,0,0.9944,148.0
82572,9,77.48,0,0.9944,147.0
82573,9,83.57,0,0.9944,147.0
82574,9,122.99,0,0.9945,150.0
82575,9,121.76,0,0.9944,148.0
82576,9,112.77,0,0.9944,148.0
82577,8,137.32,0,0.9945,151.0
82578,9,130.05,0,0.9945,148.0
82579,9,201.97,0,0.9945,149.0
82580,9,201.42,0,0.9944,148.0
82581,8,293.8,0,0.9947,166.0
82582,8,162.89,0,0.9945,151.0
82583,8,134.22,0,0.9946,156.0
82584,8,181.31,0,0.9946,155.0
82585,8,213.29,0,0.9945,150.0
82586,8,260.29,0,0.9945,154.0
82587,8,189.72,0,0.9946,158.0
82588,8,81.34,0,0.9946,161.0
82589,8,109.84,0,0.9947,166.0
82590,8,192.73,0,0.9947,166.0
82591,8,349.59,0,0.9947,166.0
82592,8,236.73,0,0.9947,166.0
82593,8,187.19,0,0.9947,170.0
82594,8,282.07,0,0.9947,166.0
82595,8,219.41,0,0.9947,169.0
82596,8,273.63,0,0.9947,167.0
82597,8,245.43,0,0.9947,171.0
82598,8,273.78,0,0.9947,164.0
82599,8,309.89,0,0.9946,161.0
82600,8,302.9,0,0.9947,165.0
82601,8,290.27,0,0.9947,163.0
82602,8,249.67,0,0.9947,163.0
82603,8,252.48,0,0.9947,165.0
82604,9,129.5,0,0.9944,149.0
82605,8,109.24,0,0.9947,169.0
82606,8,75.7,0,0.9947,172.0
82607,8,67.56,0,0.9947,173.0
82608,8,63.81,0,0.9947,170.0
82609,8,46.02,0,0.9947,168.0
82610,7,79.64,0,0.9947,176.0
82611,7,35.04,0,0.9948,179.0
82919,1,1084.12,0,0.9941,338.0
82920,7,0.27,0,0.9947,189.0
82922,7,0.79,0,0.9946,176.0
82923,1,45.89,0,0.994,342.0
82924,7,4.27,0,0.9947,186.0
82925,8,1.2,0,0.9946,174.0
82926,7,6.24,0,0.9947,191.0
82927,7,71.13,0,0.9947,185.0
82928,7,97.06,0,0.9947,186.0
82929,7,86.69,0,0.9947,195.0
82930,7,337.98,0,0.9947,195.0
82931,7,452.75,0,0.9947,193.0
82932,7,335.14,0,0.9947,193.0
82933,6,533.16,0,0.9948,214.0
82934,1,3589.02,0,0.9936,358.0
82935,1,1823.96,0,0.9937,355.0
82936,8,121.18,0,0.9945,172.0
82937,8,195.56,0,0.9945,171.0
82938,6,399.68,0,0.9948,206.0
82939,6,335.76,0,0.9948,202.0
82940,6,241.99,0,0.9948,205.0
82941,7,50.91,0,0.9947,191.0
82942,7,81.13,0,0.9947,192.0
82943,7,138.62,0,0.9947,191.0
82944,7,257.15,0,0.9947,195.0
82945,8,269.16,0,0.9944,160.0
82946,8,361.87,0,0.9945,170.0
82947,7,142.93,0,0.9947,191.0
82948,7,384.72,0,0.9947,192.0
82949,7,220.67,0,0.9947,185.0
82950,7,32.66,0,0.9947,196.0
82951,7,7.07,0,0.9947,183.0
82952,7,42.37,0,0.9947,178.0
82953,7,128.48,0,0.9947,180.0
82954,7,150.18,0,0.9947,185.0
82955,7,323.01,0,0.9947,191.0
82956,7,451.21,0,0.9947,199.0
82957,7,154.88,0,0.9947,181.0
82958,7,3.44,0,0.9946,175.0
82959,8,37.39,0,0.9945,174.0
82960,8,129.86,0,0.9945,168.0
82963,7,4.77,0,0.9948,200.0
82964,7,217.82,0,0.9947,192.0
82965,7,427.74,0,0.9947,190.0
82966,7,422.8,0,0.9947,193.0
82967,7,50.03,0,0.9947,182.0
82968,7,14.45,0,0.9947,183.0
82969,7,28.06,0,0.9947,185.0
82970,7,233.15,0,0.9947,181.0
82971,6,167.88,0,0.9947,200.0
82972,7,204.24,0,0.9947,183.0
82973,7,176.68,0,0.9946,176.0
82974,8,43.41,0,0.9944,162.0
82975,8,168.6,0,0.9944,165.0
82976,7,443.54,0,0.9947,183.0
82977,7,164.25,0,0.9947,184.0
82978,7,118.05,0,0.9947,177.0
82979,7,387.42,0,0.9947,179.0
82980,7,291.12,0,0.9947,183.0
82981,8,121.06,0,0.9944,167.0
82982,7,144.34,0,0.9946,177.0
